1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,GarageFinish_None,GarageFinish_RFn,GarageFinish_Unf
1137,817.0,3.0,1,341,4,457,431,1939.0,1954,4,15660,69.0,312.0,119,9,7,798,1939,2006,True,False,False
1248,0.0,2.0,3,16,6,1232,438,2005.0,1248,4,3010,43.0,16.0,0,5,7,1248,2005,2006,False,False,False
1498,0.0,2.0,2,0,1,1498,675,2006.0,1498,4,8990,73.0,0.0,33,5,7,1498,2006,2006,True,False,False
1010,1257.0,4.0,1,0,1,1010,390,2002.0,2267,4,8068,69.0,0.0,46,5,6,1010,2002,2002,False,True,False
811,741.0,3.0,1,550,5,163,434,1975.0,1552,3,11475,85.0,0.0,208,6,6,713,1975,1975,False,True,False
864,0.0,2.0,1,524,5,160,576,1989.0,864,3,10500,70.0,0.0,0,6,4,864,1971,1971,False,False,True
2392,0.0,3.0,4,56,6,2336,968,2003.0,2392,5,13472,103.0,922.0,105,5,10,2392,2003,2003,False,False,False
630,672.0,3.0,1,0,1,630,280,1991.0,1302,3,1680,21.0,142.0,0,5,5,630,1971,1971,False,False,True
1214,1306.0,4.0,1,565,6,638,721,1995.0,2520,4,9950,82.0,290.0,114,5,7,1203,1995,1995,True,False,False
483,504.0,3.0,1,321,3,162,280,1987.0,987,3,1869,21.0,127.0,0,6,6,483,1970,1970,False,False,True
912,0.0,3.0,1,842,5,70,336,1974.0,912,3,8521,70.0,0.0,0,5,5,912,1967,1967,False,False,True
1555,0.0,2.0,3,16,6,1357,430,2005.0,1555,4,3182,43.0,16.0,20,5,7,1373,2005,2006,False,False,False
1194,0.0,3.0,1,0,1,1194,312,1959.0,1194,3,8760,73.0,220.0,0,6,6,1194,1959,1959,False,True,False
1490,1304.0,4.0,1,689,0,773,810,1995.0,2794,5,15138,174.0,506.0,146,5,8,1462,1995,1996,False,False,False
483,504.0,2.0,1,0,1,483,288,1972.0,987,3,1680,21.0,297.0,0,5,6,483,1972,1972,False,False,True
894,0.0,3.0,3,182,2,0,308,1976.0,894,3,10650,75.0,0.0,0,6,5,894,1976,1976,False,False,True
860,1100.0,4.0,1,625,6,235,440,2002.0,1960,4,7851,69.0,0.0,48,5,6,860,2002,2002,False,False,False
483,0.0,2.0,1,358,5,125,264,1971.0,987,3,1680,21.0,604.0,0,3,6,483,1971,1971,False,False,True
1414,0.0,3.0,3,24,6,1390,494,2004.0,1414,4,8773,65.0,98.0,105,5,7,1414,2004,2004,False,True,False
1014,730.0,3.0,1,402,4,594,457,1993.0,1744,4,9453,69.0,0.0,70,7,7,996,1993,2003,False,True,False
1694,0.0,3.0,1,0,1,1694,818,2007.0,1694,4,12030,93.0,254.0,228,5,8,1694,2007,2007,False,False,False
798,0.0,3.0,1,94,2,641,220,1949.0,1487,3,8741,52.0,0.0,140,4,6,735,1945,1950,False,False,True
1566,0.0,3.0,3,1078,6,488,750,2008.0,1566,4,9000,75.0,36.0,168,5,8,1566,2008,2008,False,True,False
866,0.0,2.0,1,329,5,357,0,0.0,866,4,3880,40.0,0.0,42,9,5,686,1945,1997,True,False,False
889,551.0,3.0,1,0,1,540,352,1940.0,1440,3,5000,63.0,0.0,0,4,5,540,1900,1950,False,False,True
626,591.0,3.0,1,0,0,626,288,1980.0,1217,3,10762,75.0,0.0,28,6,6,626,1980,1980,False,True,False
1222,888.0,3.0,1,695,6,253,463,1994.0,2110,4,8880,69.0,0.0,130,5,7,948,1994,2002,False,True,False
1872,0.0,3.0,3,929,6,916,604,1988.0,1872,3,10400,80.0,102.0,39,5,7,1845,1988,1988,True,False,False
908,1020.0,4.0,1,0,1,1020,440,1910.0,1928,2,9142,69.0,0.0,60,8,6,1020,1910,1950,False,False,True
1375,0.0,2.0,1,0,1,1367,451,1954.0,1375,3,11310,75.0,0.0,30,5,6,1367,1954,1954,False,False,True
840,828.0,3.0,1,0,0,840,500,2003.0,1668,4,11317,72.0,101.0,68,5,7,840,2003,2003,False,True,False
1444,700.0,4.0,4,697,3,747,389,1958.0,2144,4,159000,69.0,472.0,98,7,6,1444,1958,2006,False,False,False
1306,0.0,3.0,1,0,1,728,0,0.0,1306,2,5350,55.0,0.0,0,2,3,728,1940,1966,True,False,False
1625,0.0,2.0,4,1573,0,0,538,2006.0,1625,4,4750,44.0,481.0,0,5,8,1573,2006,2007,True,False,False
798,842.0,3.0,1,0,1,798,520,2004.0,1640,4,8366,65.0,0.0,45,5,6,798,2004,2004,False,True,False
1302,0.0,3.0,4,270,2,452,309,1964.0,1302,4,9350,85.0,108.0,0,7,6,1302,1964,1991,False,True,False
1314,0.0,3.0,1,922,3,392,294,1957.0,1314,3,8400,70.0,0.0,0,6,5,1314,1957,1957,False,True,False
1005,1286.0,4.0,1,0,1,975,429,1999.0,2291,4,8738,66.0,302.0,0,5,7,975,1999,1999,False,False,False
864,864.0,3.0,1,503,3,361,673,2003.0,1728,4,8791,64.0,0.0,56,5,6,864,2003,2003,False,True,False
1604,0.0,3.0,1,1334,6,270,660,2006.0,1604,4,8814,68.0,180.0,110,5,7,1604,2006,2006,False,True,False
963,829.0,3.0,1,361,6,602,564,2001.0,1792,4,12435,80.0,172.0,96,5,7,963,2001,2001,False,True,False
882,0.0,2.0,0,0,0,0,308,1956.0,882,3,12702,70.0,0.0,45,5,5,0,1956,1956,False,False,True
1382,0.0,3.0,4,672,3,0,884,1991.0,1382,3,19296,120.0,399.0,0,5,6,1362,1962,1962,False,False,True
1482,1092.0,3.0,1,0,1,1482,868,2007.0,2574,5,9588,69.0,270.0,148,5,8,1482,2007,2007,False,False,False
1212,0.0,3.0,3,506,5,0,492,1978.0,1212,3,8471,88.0,46.0,12,7,6,506,1977,1995,False,False,True
926,0.0,3.0,1,234,2,0,484,1974.0,1316,3,5500,50.0,0.0,0,7,5,926,1929,2001,False,False,True
764,0.0,2.0,1,0,1,680,504,1965.0,764,3,5232,30.0,0.0,0,5,5,680,1925,2004,False,False,True
1422,0.0,3.0,1,588,0,606,576,1981.0,1422,4,12090,78.0,210.0,0,6,6,1422,1981,1981,False,False,False
802,709.0,3.0,3,714,6,88,413,1997.0,1511,3,11207,70.0,0.0,75,5,6,802,1997,1997,False,False,False
1052,720.0,4.0,1,378,0,342,240,1939.0,2192,4,8400,60.0,0.0,24,8,5,720,1939,1997,True,False,False
778,0.0,2.0,1,403,5,212,924,1966.0,778,3,6900,71.0,0.0,25,6,5,740,1940,1955,True,False,False
1113,0.0,3.0,1,751,4,392,504,1987.0,1113,3,7917,69.0,174.0,30,7,6,1143,1976,1976,False,True,False
1095,844.0,3.0,2,0,1,1095,1053,2006.0,1939,4,10728,84.0,0.0,51,5,8,1095,2006,2006,False,True,False
1363,0.0,2.0,4,226,2,96,439,1954.0,1363,3,39104,73.0,0.0,0,7,7,1385,1954,2005,False,False,True
1164,1106.0,4.0,1,524,6,628,671,1999.0,2270,4,11764,92.0,348.0,57,7,8,1152,1999,2007,False,False,False
1632,0.0,3.0,1,620,3,0,338,1958.0,1632,3,9600,80.0,183.0,0,6,6,1240,1958,1988,False,True,False
816,0.0,3.0,4,546,5,270,264,1982.0,816,3,8314,76.0,0.0,0,7,5,816,1982,1982,False,False,True
952,596.0,3.0,1,0,1,952,672,1978.0,1548,5,7264,55.0,0.0,0,7,7,952,1925,2007,True,False,False
1560,0.0,3.0,1,0,1,1560,573,2003.0,1560,4,9196,129.0,0.0,150,5,7,1560,2003,2003,False,False,False
864,0.0,2.0,1,120,2,744,400,1951.0,864,3,19138,140.0,0.0,0,5,4,864,1951,1951,False,False,True
2121,0.0,3.0,4,0,1,2121,732,2007.0,2121,5,14450,107.0,315.0,98,5,9,2121,2006,2007,False,False,False
1156,866.0,4.0,1,392,4,768,505,1977.0,2022,3,10005,83.0,299.0,117,5,7,1160,1977,1977,False,False,False
1175,807.0,3.0,3,421,6,386,575,1989.0,1982,4,11287,82.0,340.0,84,6,7,807,1989,1989,True,False,False
1262,0.0,3.0,1,905,6,357,572,2006.0,1262,4,7200,60.0,68.0,120,5,6,1262,2006,2006,True,False,False
1314,0.0,2.0,1,904,6,410,626,2008.0,1314,4,5063,34.0,166.0,62,5,7,1314,2007,2008,False,True,False
1468,0.0,3.0,1,0,1,1468,898,2008.0,1468,4,9612,74.0,72.0,150,5,8,1468,2008,2009,False,False,False
1575,0.0,3.0,1,430,6,1145,529,1992.0,1575,4,8012,50.0,0.0,0,5,6,1575,1992,1992,False,True,False
625,625.0,2.0,1,0,1,625,528,2006.0,1250,4,4251,35.0,0.0,54,5,7,625,2006,2007,False,True,False
1085,649.0,3.0,1,600,3,312,440,1962.0,1734,4,9786,77.0,0.0,0,7,6,912,1962,1981,True,False,False
858,0.0,3.0,1,614,4,244,0,0.0,858,3,8125,69.0,0.0,0,4,4,858,1971,1971,True,False,False
900,0.0,3.0,1,450,4,432,280,1970.0,900,3,9819,69.0,31.0,0,5,5,882,1967,1967,False,False,True
698,698.0,3.0,1,0,1,698,384,2003.0,1396,3,8730,60.0,0.0,0,7,6,698,1915,2003,False,False,True
1079,840.0,3.0,3,0,1,1079,685,2006.0,1919,4,15611,120.0,0.0,51,5,8,1079,2006,2006,False,True,False
936,780.0,6.0,1,210,0,570,0,0.0,1716,2,5687,55.0,0.0,184,6,5,780,1912,2000,True,False,False
1148,568.0,3.0,1,292,2,476,281,1949.0,1716,3,11409,60.0,0.0,0,4,5,768,1949,2008,False,False,True
1468,795.0,3.0,1,795,5,0,539,1977.0,2263,4,16659,69.0,34.0,250,7,7,795,1977,1994,False,False,False
1644,0.0,3.0,1,1285,6,131,418,1953.0,1644,3,9600,80.0,238.0,0,5,6,1416,1953,1953,False,False,False
1003,0.0,3.0,3,819,6,184,588,1984.0,1003,3,7937,37.0,0.0,0,6,6,1003,1984,1984,True,False,False
910,648.0,4.0,1,420,4,490,282,1950.0,1558,3,13710,75.0,0.0,0,5,5,910,1950,1950,False,False,True
975,975.0,3.0,1,649,0,326,576,1997.0,1950,4,7399,66.0,1600.0,10,5,7,975,1997,1998,False,True,False
1041,702.0,3.0,1,384,5,143,539,1968.0,1743,3,11700,90.0,365.0,0,6,6,702,1968,1968,False,False,True
1152,0.0,3.0,1,0,1,1092,300,1950.0,1152,4,14000,80.0,0.0,36,8,6,1092,1950,2004,False,False,True
1336,0.0,2.0,2,841,4,324,375,1953.0,1336,3,15750,90.0,56.0,0,5,5,1165,1953,1953,False,False,True
1210,1242.0,4.0,1,281,0,747,683,1998.0,2452,4,16226,66.0,0.0,50,5,8,1028,1998,1999,False,False,False
1541,0.0,3.0,1,0,1,1541,843,2001.0,1541,4,13704,118.0,150.0,81,5,7,1541,2001,2002,False,True,False
894,0.0,3.0,1,894,5,0,552,1975.0,894,3,9800,70.0,0.0,0,7,5,894,1972,1972,False,False,True
1675,1818.0,3.0,1,0,1,1470,870,2003.0,3493,4,18386,87.0,0.0,0,9,7,1470,1880,2002,False,False,True
2000,0.0,3.0,1,1464,6,536,888,2004.0,2000,4,10386,80.0,246.0,0,5,8,2000,2004,2005,True,False,False
1122,1121.0,4.0,1,700,5,0,746,1990.0,2243,4,13474,116.0,246.0,44,5,7,700,1990,1991,False,True,False
1035,371.0,3.0,1,0,1,319,0,0.0,1406,2,7920,69.0,0.0,144,7,6,319,1920,1950,True,False,False
861,0.0,1.0,1,262,4,599,539,1961.0,861,3,12342,69.0,0.0,0,5,4,861,1940,1950,True,False,False
1944,0.0,3.0,4,1274,0,622,708,2003.0,1944,5,12378,90.0,0.0,175,5,9,1896,2003,2004,False,False,False
697,804.0,3.0,1,518,5,179,420,1993.0,1501,4,7685,69.0,112.0,63,5,6,697,1993,1994,False,False,False
972,0.0,2.0,1,680,5,292,240,1948.0,972,3,8000,50.0,0.0,0,6,6,972,1948,2002,False,False,True
793,325.0,3.0,2,507,3,286,410,1939.0,1118,3,7800,65.0,0.0,0,7,5,793,1939,1950,False,False,True
2036,0.0,3.0,4,1236,5,80,513,1965.0,2036,3,215245,150.0,0.0,0,5,7,2136,1965,1965,False,True,False
832,809.0,3.0,1,16,2,712,546,1925.0,1641,5,9600,60.0,0.0,0,7,7,728,1925,1990,False,False,True
716,716.0,3.0,1,425,0,291,432,2004.0,1432,4,7795,71.0,0.0,51,5,7,716,2004,2005,False,False,False
1153,0.0,4.0,1,692,6,153,484,1983.0,2353,5,13005,94.0,278.0,195,7,7,845,1980,1980,False,True,False
1088,871.0,3.0,3,0,1,1088,1025,2006.0,1959,4,9000,75.0,0.0,46,5,8,1088,2006,2006,False,True,False
1372,1274.0,3.0,4,987,6,360,656,1993.0,2646,4,9900,90.0,256.0,60,5,7,1347,1993,1993,False,True,False
1472,0.0,3.0,3,1036,6,336,588,1980.0,1472,3,14115,69.0,225.0,48,5,7,1372,1980,1980,False,False,True
1249,1347.0,4.0,3,0,1,1249,840,2006.0,2596,4,16259,111.0,370.0,154,5,9,1249,2006,2006,False,True,False
1136,1332.0,4.0,3,970,6,166,872,2004.0,2468,4,12099,99.0,388.0,154,5,8,1136,2004,2004,True,False,False
1553,1177.0,4.0,4,28,2,0,576,1987.0,2730,4,10380,86.0,172.0,96,5,7,1502,1986,1987,True,False,False
1163,0.0,3.0,1,256,5,906,220,1955.0,1163,3,5820,49.0,0.0,98,8,3,1162,1955,2005,False,False,True
1898,1080.0,5.0,1,0,1,710,564,1961.0,2978,4,11275,96.0,300.0,0,7,7,710,1967,2007,False,False,False
803,0.0,2.0,3,116,4,604,360,1941.0,803,3,5000,50.0,0.0,0,6,5,720,1941,1950,False,False,True
1719,0.0,1.0,4,1619,6,100,473,1993.0,1719,4,10846,32.0,0.0,30,5,8,1719,1993,1993,False,False,False
1383,0.0,3.0,1,565,3,818,292,1960.0,1383,3,11600,80.0,175.0,45,5,6,1383,1960,1960,True,False,False
1445,689.0,5.0,1,0,1,844,441,1930.0,2134,4,11888,69.0,0.0,60,6,6,844,1916,1994,False,False,True
596,596.0,3.0,2,0,1,596,189,1920.0,1192,3,6402,60.0,0.0,0,5,5,596,1920,1950,False,False,True
1728,0.0,6.0,1,40,6,1424,352,2002.0,1728,3,10624,69.0,84.0,0,4,5,1728,1964,1964,False,False,True
1056,0.0,3.0,1,846,3,210,308,1958.0,1056,3,8176,70.0,0.0,0,6,5,1056,1958,1992,False,True,False
1629,0.0,3.0,1,1124,6,1603,880,2003.0,1629,4,10655,85.0,296.0,0,5,8,3206,2003,2004,True,False,False
1358,0.0,2.0,3,720,6,638,484,2004.0,1358,4,8198,59.0,146.0,30,5,7,1358,2004,2004,False,True,False
943,0.0,3.0,4,828,6,115,472,1998.0,1638,3,9042,59.0,0.0,38,5,6,943,1998,1998,False,False,False
1619,167.0,3.0,4,1249,0,103,529,1965.0,1786,3,164660,69.0,0.0,0,6,5,1499,1965,1965,False,False,False
1922,0.0,3.0,4,1249,6,673,676,2005.0,1922,4,14157,86.0,200.0,51,5,9,1922,2005,2006,False,False,False
1536,0.0,3.0,3,810,6,726,532,2002.0,1536,4,9135,70.0,113.0,74,5,7,1536,2002,2003,False,True,False
1621,0.0,3.0,2,213,5,995,440,1984.0,1621,4,14145,91.0,0.0,45,7,7,1208,1984,1998,True,False,False
1215,0.0,3.0,1,585,3,630,297,1958.0,1215,3,12400,66.0,176.0,0,7,6,1215,1958,1998,False,False,True
993,915.0,4.0,1,0,1,967,431,2002.0,1908,4,14191,85.0,0.0,0,5,8,967,2002,2002,False,False,False
841,0.0,2.0,1,0,1,721,294,1950.0,841,3,8400,60.0,0.0,0,4,4,721,1950,1950,False,False,True
1040,0.0,2.0,0,0,0,0,400,1949.0,1040,3,8544,69.0,340.0,0,4,3,0,1949,1950,False,False,True
1684,0.0,2.0,1,28,6,1656,564,2005.0,1684,5,8849,63.0,616.0,72,5,9,1684,2005,2005,False,True,False
536,576.0,3.0,1,129,3,175,336,1976.0,1112,3,2592,36.0,0.0,0,3,5,536,1976,1976,False,False,True
972,605.0,3.0,1,0,1,972,312,1939.0,1577,2,6435,65.0,0.0,0,5,6,972,1939,1950,False,False,True
958,0.0,2.0,2,498,4,460,301,1960.0,958,3,12772,69.0,0.0,0,8,6,958,1960,1998,False,True,False
1478,0.0,3.0,1,1270,4,208,498,1960.0,1478,3,17600,69.0,30.0,40,5,6,1478,1960,1960,False,False,True
764,862.0,2.0,1,573,6,191,474,2003.0,1626,4,2448,36.0,106.0,27,5,7,764,2003,2004,False,True,False
1848,880.0,4.0,1,1410,6,438,706,2006.0,2728,5,20431,56.0,870.0,0,5,9,1848,2005,2006,False,False,False
1869,0.0,2.0,1,0,1,1869,617,2007.0,1869,5,7820,68.0,362.0,54,5,9,1869,2007,2007,False,True,False
1453,0.0,3.0,4,1082,6,371,445,1986.0,1453,4,5271,69.0,0.0,80,5,7,1453,1986,1986,False,True,False
616,495.0,3.0,2,236,2,0,200,1941.0,1111,3,9084,60.0,0.0,0,6,5,616,1941,1950,False,False,True
720,0.0,2.0,1,0,1,624,484,2005.0,720,3,8520,60.0,0.0,0,8,6,624,1928,2003,False,False,True
1192,403.0,2.0,1,388,2,552,240,1940.0,1595,3,8400,60.0,0.0,0,5,6,940,1940,2000,False,False,True
1200,0.0,3.0,1,334,5,322,521,1995.0,1200,4,11249,105.0,0.0,26,5,6,1200,1995,1995,False,True,False
1167,0.0,3.0,1,560,6,598,400,1992.0,1167,4,9248,69.0,106.0,26,6,6,1158,1992,1992,False,True,False
1142,0.0,3.0,1,874,5,268,528,1976.0,1142,3,4224,44.0,0.0,90,5,5,1142,1976,1976,False,False,False
1352,0.0,3.0,3,300,4,468,288,1958.0,1352,4,6930,92.0,120.0,0,4,5,1062,1958,1958,False,False,True
1086,838.0,3.0,3,956,6,130,592,1998.0,1924,4,12011,78.0,530.0,75,5,8,1086,1998,1998,False,True,False
912,0.0,2.0,3,773,6,115,470,1978.0,912,3,7540,69.0,0.0,0,6,6,888,1978,1978,False,True,False
988,517.0,3.0,1,399,3,484,240,1940.0,1505,3,9144,69.0,0.0,0,5,5,883,1940,1982,True,False,False
495,1427.0,4.0,0,0,0,0,672,2003.0,1922,4,7301,64.0,500.0,0,5,7,0,2003,2003,False,True,False
483,504.0,3.0,1,162,5,321,264,1972.0,987,4,1680,21.0,510.0,0,8,6,483,1972,2007,False,False,True
790,784.0,3.0,2,712,6,84,566,1976.0,1574,3,18800,69.0,120.0,111,5,6,796,1976,1976,False,False,False
672,672.0,3.0,1,456,3,216,468,1964.0,1344,3,10690,59.0,0.0,128,7,5,672,1920,1997,False,False,True
1394,0.0,3.0,1,609,4,785,514,1963.0,1394,3,9500,69.0,247.0,76,5,6,1394,1963,1963,False,True,False
1431,0.0,3.0,4,371,6,728,296,1962.0,1431,3,9150,101.0,305.0,110,5,6,1099,1962,1962,False,True,False
1268,0.0,2.0,1,540,2,728,244,1954.0,1268,3,7800,78.0,200.0,98,6,5,1268,1954,1954,False,False,False
1287,0.0,3.0,1,72,5,733,576,1997.0,1287,4,9830,69.0,0.0,17,7,5,1063,1959,2006,False,False,False
953,711.0,3.0,1,0,1,953,460,2000.0,1664,3,8121,69.0,0.0,40,5,6,953,2000,2000,False,True,False
1120,468.0,4.0,0,0,0,0,680,1991.0,1588,3,17120,80.0,0.0,59,4,4,0,1959,1959,False,False,False
752,0.0,2.0,1,623,5,0,264,1984.0,752,3,7175,50.0,0.0,0,5,6,744,1984,1984,False,False,True
1319,0.0,3.0,1,428,4,0,270,1953.0,1319,3,10634,79.0,0.0,0,6,5,608,1953,1953,False,False,True
847,1081.0,4.0,1,0,0,847,434,2003.0,1928,4,8200,65.0,0.0,48,5,7,847,2003,2004,False,False,False
904,0.0,1.0,4,350,4,333,0,0.0,904,2,10020,69.0,0.0,0,1,1,683,1922,1950,True,False,False
914,0.0,2.0,3,298,6,572,576,1998.0,914,3,8846,57.0,0.0,0,5,5,870,1996,1996,False,False,True
1580,886.0,4.0,1,0,1,1580,610,2004.0,2466,4,11143,102.0,0.0,214,5,8,1580,2004,2005,False,True,False
1856,0.0,1.0,3,1445,6,411,834,2010.0,1856,5,11394,88.0,350.0,0,2,9,1856,2010,2010,False,False,False
1007,793.0,3.0,1,0,1,982,463,2000.0,1800,3,8123,60.0,16.0,63,5,6,982,2000,2000,False,False,False
1026,665.0,3.0,1,218,2,808,308,1924.0,1691,4,5000,50.0,0.0,0,6,5,1026,1924,1950,False,False,True
1301,0.0,2.0,1,0,1,1293,572,2006.0,1301,4,7200,60.0,0.0,121,5,7,1293,2006,2006,False,True,False
939,858.0,3.0,3,0,1,939,639,2006.0,1797,4,9245,79.0,0.0,53,5,7,939,2006,2006,True,False,False
784,0.0,2.0,1,0,1,784,360,1950.0,784,3,9000,60.0,0.0,0,3,6,784,1928,1950,False,False,True
1079,874.0,3.0,3,985,6,595,501,1992.0,1953,4,53107,69.0,0.0,231,5,6,1580,1992,1992,False,False,False
1269,0.0,2.0,1,24,6,1232,430,2004.0,1269,4,3182,43.0,16.0,20,5,8,1256,2004,2005,False,False,False
658,526.0,5.0,1,0,1,658,0,0.0,1184,3,8410,58.0,0.0,151,3,5,658,1910,1996,True,False,False
1125,0.0,3.0,3,631,5,410,352,1977.0,1125,3,7200,72.0,255.0,0,6,6,1041,1976,1976,False,False,True
1479,0.0,3.0,1,0,1,1468,577,1999.0,1479,4,9382,93.0,125.0,25,5,7,1468,1999,2000,False,True,False
1742,590.0,3.0,3,1280,6,402,846,2008.0,2332,5,12474,96.0,272.0,134,5,10,1682,2007,2008,False,False,False
961,406.0,4.0,1,241,3,229,384,1978.0,1367,3,8405,50.0,0.0,130,8,5,861,1900,1950,False,False,True
804,1157.0,3.0,1,690,5,114,560,2001.0,1961,4,12209,71.0,0.0,192,5,6,804,2001,2002,False,False,False
882,0.0,3.0,0,0,0,0,294,1959.0,882,3,8339,69.0,0.0,0,7,5,0,1959,1959,False,True,False
788,0.0,2.0,1,266,3,522,0,0.0,788,3,7446,69.0,0.0,0,5,4,788,1941,1950,True,False,False
735,299.0,2.0,1,0,0,735,240,1940.0,1034,3,10134,60.0,0.0,39,6,5,735,1940,1950,False,False,True
1144,0.0,3.0,3,739,4,405,596,1956.0,1144,3,9571,68.0,0.0,0,6,5,1144,1956,1956,False,False,True
894,0.0,2.0,3,777,3,117,600,1985.0,894,3,7200,60.0,0.0,0,5,5,894,1972,1972,False,True,False
876,936.0,4.0,1,540,5,324,264,1962.0,1812,3,7590,69.0,288.0,168,5,5,864,1962,1962,False,True,False
1077,0.0,2.0,1,0,1,961,338,1920.0,1077,3,8967,60.0,0.0,0,2,5,961,1920,1950,False,False,True
1112,438.0,2.0,1,812,6,280,438,2007.0,1550,4,8125,65.0,100.0,168,5,7,1092,2006,2007,False,False,False
1288,0.0,1.0,1,786,6,474,500,1996.0,1288,5,14963,38.0,0.0,30,5,8,1260,1996,1996,False,False,False
1310,0.0,3.0,3,24,6,1286,400,2005.0,1310,4,8767,65.0,0.0,0,5,7,1310,2005,2005,False,False,False
672,0.0,2.0,1,0,1,672,240,1940.0,672,3,10200,60.0,0.0,0,8,5,672,1940,1997,False,False,True
1165,0.0,4.0,1,0,1,1141,420,1998.0,2263,4,12090,93.0,650.0,123,5,8,1141,1998,1998,False,False,False
806,766.0,3.0,1,0,1,806,373,1995.0,1572,3,10364,69.0,0.0,40,5,6,806,1995,1996,False,False,False
1620,0.0,3.0,1,1116,4,165,490,1993.0,1620,3,9991,69.0,0.0,78,4,4,1281,1976,1993,False,False,True
1166,0.0,3.0,1,0,1,1064,240,1936.0,1639,3,10480,51.0,0.0,0,5,6,1064,1936,1950,False,False,True
840,840.0,3.0,1,0,1,840,308,1960.0,1680,3,15576,63.0,0.0,0,7,6,840,1915,1976,True,False,False
1071,1101.0,3.0,1,0,1,1063,947,2006.0,2172,4,14154,109.0,350.0,62,5,7,1063,2006,2006,False,True,False
1050,1028.0,3.0,1,789,6,245,836,2008.0,2078,5,10800,85.0,100.0,102,5,8,1034,2007,2008,False,False,False
1276,0.0,3.0,1,0,1,1276,350,1958.0,1276,3,9571,68.0,0.0,0,3,5,1276,1958,1958,False,False,True
1056,0.0,3.0,2,1056,3,0,572,1955.0,1056,3,34650,100.0,0.0,0,5,5,1056,1955,1955,False,False,False
1478,0.0,2.0,3,578,6,892,484,2009.0,1478,4,4403,69.0,432.0,144,5,7,1470,2009,2009,False,False,False
1028,0.0,2.0,1,0,1,1008,360,1927.0,1028,3,8960,56.0,0.0,0,6,5,1008,1927,1950,False,False,True
1080,1017.0,3.0,1,50,4,499,678,1993.0,2097,4,11228,59.0,0.0,187,5,7,1080,1993,1993,True,False,False
1340,0.0,3.0,3,24,6,1316,396,2007.0,1340,4,8899,73.0,0.0,30,5,7,1340,2007,2007,False,False,False
672,728.0,3.0,1,209,5,463,440,1978.0,1400,3,7844,74.0,203.0,0,7,6,672,1978,1978,False,False,False
1370,1254.0,4.0,1,1128,4,242,864,1918.0,2624,3,22420,86.0,0.0,0,6,6,1370,1918,1950,False,False,True
756,378.0,3.0,1,312,5,444,240,1940.0,1134,3,8160,60.0,0.0,0,6,5,756,1940,1950,False,False,True
1056,0.0,3.0,1,775,4,281,304,1968.0,1056,3,8450,65.0,0.0,85,6,5,1056,1968,1968,False,False,True
1344,0.0,3.0,4,1309,6,35,784,1997.0,1344,3,7060,78.0,200.0,0,5,7,1344,1997,1998,False,False,False
1602,0.0,3.0,1,1246,5,356,529,1977.0,1602,4,16635,69.0,126.0,0,7,6,1602,1977,2000,False,False,False
988,0.0,2.0,1,0,0,988,520,1954.0,988,3,21750,100.0,0.0,0,5,5,988,1954,1954,False,True,False
1470,0.0,4.0,1,986,6,484,696,1998.0,2630,4,9200,80.0,473.0,66,5,8,1470,1998,1998,True,False,False
1196,0.0,2.0,1,616,2,580,297,1956.0,1196,3,9000,72.0,74.0,44,5,6,1196,1956,1956,False,True,False
707,682.0,3.0,1,0,1,651,240,1947.0,1389,3,3378,60.0,0.0,0,8,7,651,1946,1992,False,False,True
1644,0.0,2.0,4,1518,6,0,569,1989.0,1644,4,12800,69.0,145.0,0,5,7,1518,1989,1989,False,False,False
907,0.0,3.0,1,288,3,619,352,1964.0,907,3,8593,77.0,0.0,0,6,4,907,1957,1957,False,False,True
1208,0.0,2.0,1,664,6,544,628,2007.0,1208,4,6762,64.0,108.0,54,5,7,1208,2007,2007,False,True,False
1412,0.0,3.0,2,1005,6,387,576,1988.0,1412,4,11457,130.0,0.0,0,5,6,1392,1988,1988,False,False,True
483,504.0,2.0,1,387,5,96,264,1971.0,987,3,1680,21.0,232.0,0,5,6,483,1971,1971,False,False,True
1088,110.0,4.0,1,0,0,901,0,0.0,1198,3,5586,60.0,0.0,98,7,6,901,1920,1998,True,False,False
765,600.0,2.0,1,471,5,294,440,1971.0,1365,3,1920,24.0,376.0,36,5,5,765,1971,1971,False,False,True
926,678.0,3.0,1,0,1,926,470,1997.0,1604,3,10839,100.0,0.0,36,5,6,926,1997,1998,False,False,False
630,0.0,1.0,3,495,5,135,0,0.0,630,3,1890,21.0,0.0,0,7,4,630,1972,1972,True,False,False
827,834.0,3.0,3,385,6,70,550,1996.0,1661,4,10667,43.0,0.0,61,6,7,799,1996,1996,False,True,False
734,0.0,2.0,1,0,1,648,440,1990.0,1118,3,4400,40.0,0.0,0,8,6,648,1920,1950,True,False,False
904,0.0,2.0,1,0,1,884,180,1926.0,904,3,6000,50.0,0.0,0,7,6,884,1926,2004,False,False,True
694,0.0,3.0,1,365,2,75,352,1990.0,694,4,4280,40.0,0.0,0,6,5,440,1913,2002,False,False,True
